"RRR","AAA"
"NO3","NO3_VRE-ONS_RG3_40-50"
"NO3","NO3_VRE-ONS_RG1_50"
"NO3","NO3_VRE-ONS_RG2_50"
"NO3","NO3_VRE-ONS_RG3_50"
"NO3","NO3_VRE-ONS-LW_RG1_20-30"
"NO3","NO3_VRE-ONS-LW_RG2_20-30"
"NO3","NO3_VRE-ONS-LW_RG3_20-30"
"NO3","NO3_VRE-ONS-LW_RG1_30-40"
"NO3","NO3_VRE-ONS-LW_RG2_30-40"
"NO3","NO3_VRE-ONS-LW_RG3_30-40"
"NO3","NO3_VRE-ONS-LW_RG1_40-50"
"NO3","NO3_VRE-ONS-LW_RG2_40-50"
"NO3","NO3_VRE-ONS-LW_RG3_40-50"
"NO3","NO3_VRE-ONS-LW_RG1_50"
"NO3","NO3_VRE-ONS-LW_RG2_50"
"NO3","NO3_VRE-ONS-LW_RG3_50"
"NO3","NO3_IND-HT-NODH"
"NO3","NO3_IND-HT-DH"
"NO3","NO3_IND-LT-NODH"
"NO3","NO3_IND-LT-DH"
"NO3","NO3_IND-MT-NODH"
"NO3","NO3_IND-MT-DH"
"NO3","NO3_IDVU-HOTWTR"
"NO3","NO3_IDVU-SPACEHEAT"
"NO4","NO4_A1"
"NO4","NO4_A2"
"NO4","NO4_VRE-OFF1_RG1_20-30"
"NO4","NO4_VRE-OFF1_RG2_20-30"
"NO4","NO4_VRE-OFF1_RG3_20-30"
"NO4","NO4_VRE-OFF1_RG1_30-40"
"NO4","NO4_VRE-OFF1_RG2_30-40"
"NO4","NO4_VRE-OFF1_RG3_30-40"
"NO4","NO4_VRE-OFF1_RG1_40-50"
"NO4","NO4_VRE-OFF1_RG2_40-50"
"NO4","NO4_VRE-OFF1_RG3_40-50"
"NO4","NO4_VRE-OFF1_RG1_50"
"NO4","NO4_VRE-OFF1_RG2_50"
"NO4","NO4_VRE-OFF1_RG3_50"
"NO4","NO4_VRE-ONS_RG1_20-30"
"NO4","NO4_VRE-ONS_RG2_20-30"
"NO4","NO4_VRE-ONS_RG3_20-30"
"NO4","NO4_VRE-ONS_RG1_30-40"
"NO4","NO4_VRE-ONS_RG2_30-40"
"NO4","NO4_VRE-ONS_RG3_30-40"
"NO4","NO4_VRE-ONS_RG1_40-50"
"NO4","NO4_VRE-ONS_RG2_40-50"
"NO4","NO4_VRE-ONS_RG3_40-50"
"NO4","NO4_VRE-ONS_RG1_50"
"NO4","NO4_VRE-ONS_RG2_50"
"NO4","NO4_VRE-ONS_RG3_50"
"NO4","NO4_VRE-ONS-LW_RG1_20-30"
"NO4","NO4_VRE-ONS-LW_RG2_20-30"
"NO4","NO4_VRE-ONS-LW_RG3_20-30"
"NO4","NO4_VRE-ONS-LW_RG1_30-40"
"NO4","NO4_VRE-ONS-LW_RG2_30-40"
"NO4","NO4_VRE-ONS-LW_RG3_30-40"
"NO4","NO4_VRE-ONS-LW_RG1_40-50"
"NO4","NO4_VRE-ONS-LW_RG2_40-50"
"NO4","NO4_VRE-ONS-LW_RG3_40-50"
"NO4","NO4_VRE-ONS-LW_RG1_50"
"NO4","NO4_VRE-ONS-LW_RG2_50"
"NO4","NO4_VRE-ONS-LW_RG3_50"
"NO4","NO4_IND-HT-NODH"
"NO4","NO4_IND-HT-DH"
"NO4","NO4_IND-LT-NODH"
"NO4","NO4_IND-LT-DH"
"NO4","NO4_IND-MT-NODH"
"NO4","NO4_IND-MT-DH"
"NO4","NO4_IDVU-HOTWTR"
"NO4","NO4_IDVU-SPACEHEAT"
"NO5","NO5_A1"
"NO5","NO5_A2"
"NO5","NO5_VRE-OFF1_RG2_20-30"
"NO5","NO5_VRE-OFF1_RG2_30-40"
"NO5","NO5_VRE-OFF1_RG2_40-50"
"NO5","NO5_VRE-OFF1_RG2_50"
"NO5","NO5_VRE-ONS_RG1_20-30"
"NO5","NO5_VRE-ONS_RG2_20-30"
"NO5","NO5_VRE-ONS_RG3_20-30"
"NO5","NO5_VRE-ONS_RG1_30-40"
"NO5","NO5_VRE-ONS_RG2_30-40"
"NO5","NO5_VRE-ONS_RG3_30-40"
"NO5","NO5_VRE-ONS_RG1_40-50"
"NO5","NO5_VRE-ONS_RG2_40-50"
"NO5","NO5_VRE-ONS_RG3_40-50"
"NO5","NO5_VRE-ONS_RG1_50"
"NO5","NO5_VRE-ONS_RG2_50"
"NO5","NO5_VRE-ONS_RG3_50"
"NO5","NO5_VRE-ONS-LW_RG1_20-30"
"NO5","NO5_VRE-ONS-LW_RG2_20-30"
"NO5","NO5_VRE-ONS-LW_RG3_20-30"
"NO5","NO5_VRE-ONS-LW_RG1_30-40"
"NO5","NO5_VRE-ONS-LW_RG2_30-40"
"NO5","NO5_VRE-ONS-LW_RG3_30-40"
"NO5","NO5_VRE-ONS-LW_RG1_40-50"
"NO5","NO5_VRE-ONS-LW_RG2_40-50"
"NO5","NO5_VRE-ONS-LW_RG3_40-50"
"NO5","NO5_VRE-ONS-LW_RG1_50"
"NO5","NO5_VRE-ONS-LW_RG2_50"
